Date,Open,High,Low,Close,Forecast
1995-03-05,93.87,94.03,88.6,90.95,-1
1995-03-12,90.68,91.48,88.8,89.12,-1
1995-03-19,88.81,89.92,87.95,89.0,0
1995-03-26,88.82,90.3,86.1,86.65,-1
1995-04-02,86.52,87.28,83.53,83.95,-1
1995-04-09,84.15,84.93,80.1,83.34,-1
1995-04-16,82.8,84.05,79.7,82.57,0
1995-04-23,82.02,84.6,81.15,84.3,0
1995-04-30,84.24,84.38,82.9,83.97,0
1995-05-07,83.28,87.15,82.65,86.75,0
1995-05-14,86.9,87.8,86.0,86.91,0
1995-05-21,86.95,87.85,82.4,82.83,0
1995-05-28,82.55,85.88,81.77,84.32,0
1995-06-04,84.24,85.35,83.95,84.34,0
1995-06-11,84.3,85.07,83.5,84.69,0
1995-06-18,84.35,85.1,83.8,84.35,0
1995-06-25,84.14,86.1,83.5,84.65,0
1995-07-02,84.75,87.15,84.45,86.75,0
1995-07-09,86.75,88.5,86.65,87.85,1
1995-07-16,87.98,89.25,86.8,88.52,1
1995-07-23,88.64,88.9,87.05,88.15,0
1995-07-30,88.2,91.5,87.75,91.4,1
1995-08-06,91.45,94.06,90.87,94.0,1
1995-08-13,94.24,99.05,93.18,97.45,1
1995-08-20,97.39,97.71,95.93,96.68,0
1995-08-27,96.6,99.42,96.1,97.38,0
1995-09-03,97.3,100.23,96.77,99.72,0
1995-09-10,99.5,104.23,99.04,104.15,1
1995-09-17,104.24,104.72,97.1,100.07,0
1995-09-24,100.36,101.53,97.4,99.85,0
1995-10-01,99.7,101.8,99.2,100.45,1
1995-10-08,100.93,101.44,99.68,100.97,1
1995-10-15,100.85,101.05,99.4,100.3,0
1995-10-22,100.2,101.97,99.35,101.83,0
1995-10-29,101.78,104.15,101.23,103.85,1
1995-11-05,103.98,104.06,99.7,100.85,0
1995-11-12,100.82,102.47,100.08,102.15,0
1995-11-19,102.12,102.84,100.4,101.5,0
1995-11-26,101.63,102.3,100.83,101.15,0
1995-12-03,101.26,101.69,100.5,101.23,0
1995-12-10,101.13,102.3,100.7,102.05,0
1995-12-17,101.96,102.84,101.3,102.29,1
1995-12-24,101.95,103.54,101.95,103.4,0
1995-12-31,103.41,106.6,103.07,105.41,1
1996-01-07,105.55,105.8,104.01,105.25,0
